"ID";"Valid";"SU";"Fn";"Ctx";"Form";"Root"
"ke";0;"kana";"p";"--";;"kana"
"kecuali";1;"iwal";"c";"--";"--";"iwal"
"kecuali";1;"kajaba";"c";"--";"--";"jaba"
"kemaren";1;"kamari";"ad";"waktu";"--";"kamari"
"kemudian";1;"saterusna";"c";"--";"--";"terus"
"kemungkinan";1;"jigana";"c";"--";"--";"jiga"
"kenapa";1;"naha";"q";"--";"--";"naha"
"kendati";1;"sanajan";"c";"--";"--";"sanajan"
"kepada";1;"ka";"p";"--";"--";"ka"
"keponakan";1;"alo";"pn";"pancakaki";"--";"alo"
"keponakannya";1;"alona";"pn";"pancakaki";"--";"alo"
"kerabat";1;"baraya";"pn";"pancakaki";"--";"baraya"
"kerap";1;"mindeng";"ad";"--";"--";"mindeng"
"ketika";1;"sabot";"c";"--";"--";"sabot"
"ketimbang";1;"tinimbang";"p";"--";"--";"timbang"
"kian";1;"beuki";"ad";"--";"--";"beuki"
"kita";1;"urang";"pn";"jalma-1";"--";"urang"
"kok";1;"bet";"r";"--";"--";"bet"
"lagi";0;"deuih";"ad";;;"deuih"
"lagi";1;"deui";"ad";"waktu";"--";"deui"
"lain";1;"séjén";"ad";"--";"--";"séjén"
"lainnya";1;"séjénna";"ad";"--";"--";"séjén"
"lalu";1;"tuluy";"c";"--";"--";"tuluy"
"langsung";1;"langsung";"ad";"--";"--";"langsung"
"lantaran";1;"lantaran";"c";"--";"--";"lantaran"
"lantas";1;"saterusna";"ad";"--";"--";"terus"
"lebih baik";1;"mending";"c";"--";"--";"mending"
"malah";0;"malahan";"c";"--";"--";"malahan"
"malah";0;"malah";"c";"--";"--";"malah"
"malah";1;"kalahka";"c";"--";"--";"kalahka"
"mampu";1;"sanggup";"m";"--";"--";"sanggup"
"mau";1;"daék";"m";"--";"--";"daék"
"hendak";1;"rék";"m";"--";"--";"rék"
"maupun";1;"atawa";"c";"satata";"--";"atawa"
"menantu";1;"minantu";"pn";"pancakaki";"--";"mantu"
"mertua";1;"mitoha";"pn";"pancakaki";"--";"mitoha"
"meski";1;"cacak";"c";"--";"--";"cacak"
"meskipun";1;"sanajan";"c";"--";"--";"sanajan"
"mestinya";1;"sakuduna";"ad";"--";"--";"kudu"
"mirip";1;"jiga";"c";"--";"--";"jiga"
"mumpung";1;"meungpeung";"ad";"--";"--";"meungpeung"
"nah";1;"tah";"r";"--";"--";"tah"
"namun";1;"tapi";"c";"--";"--";"tapi"
"nenek";1;"nini";"pn";"pancakaki";"--";"nini"
"ngapain";1;"keur naon";"q";"--";"--";"naon"
"nggak";1;"teu";"ad";"--";"--";"teu"
